都道府県,市区町村,医療機関名,郵便番号,所在地,電話番号,区分,類型
埼玉県,さいたま市岩槻区,稲王クリニック,339-0068,さいたま市岩槻区並木１丁目１０－５,048-797-9878,在支診,従来型
埼玉県,さいたま市岩槻区,フローラ太田小通りクリニック,339-0054,さいたま市岩槻区仲町一丁目１２番２７号,048-758-3926,在支診,従来型
埼玉県,さいたま市岩槻区,東岩槻ファミリークリニック,339-0051,さいたま市岩槻区南平野１－２０－８,048-758-2277,在支診,従来型
埼玉県,さいたま市岩槻区,南平野クリニック,339-0051,さいたま市岩槻区南平野３丁目３２－５,048-756-7281,在支診,従来型
埼玉県,さいたま市岩槻区,岩槻西原クリニック,339-0061,さいたま市岩槻区大字岩槻５１６６－２,048-757-0211,在支診,従来型
埼玉県,さいたま市岩槻区,医療法人社団 幸正会 岩槻南病院,339-0033,さいたま市岩槻区大字黒谷２２５６番地,048-798-2001,在支病,機能強化型(連携)
埼玉県,さいたま市岩槻区,こびなた在宅クリニック,339-0057,さいたま市岩槻区本町五丁目１０番２６号,048-796-5911,在支診,機能強化型(連携)ア
埼玉県,さいたま市岩槻区,いわつき内科糖尿病クリニック,339-0057,さいたま市岩槻区本町３－１１－２森庄ビルⅡ－２－１,048-749-7710,在支診,従来型
埼玉県,さいたま市岩槻区,医療法人 白帆会 細田医院,339-0057,さいたま市岩槻区本町３－１３－１０,048-756-6451,在支診,従来型
埼玉県,さいたま市岩槻区,医療法人社団幸靖会 みやぎクリニック,339-0028,さいたま市岩槻区美園東三丁目７番地３７,048-797-1100,在支診,従来型
埼玉県,さいたま市岩槻区,まゆみ泌尿器科内科クリニック,339-0067,さいたま市岩槻区西町一丁目１番２６号ヒューマンスクエア岩槻プレミアムタワー１０１号,048-790-1611,在支診,従来型
埼玉県,さいたま市岩槻区,一般社団法人あかぎ会  池田クリニック岩槻,339-0007,さいたま市岩槻区諏訪２丁目１－６ カメタニビルズ２３ １階,048-793-4833,在支診,機能強化型(連携)ア
